# %ECSV 0.9
# ---
# datatype:
# - {name: energy, unit: eV, datatype: int64}
# - {name: AlOxide, datatype: float64, description: 10 nm Al2O3 (density 3.97)}
# - {name: Al, datatype: float64, description: 30 nm Al}
# - {name: Kapton, datatype: float64, description: 45 nm C22H10N2O5 (density 1.43)}
# - {name: 95% mesh, datatype: float64, description: 95% mesh}
# - {name: Detector QE, datatype: float64, description: Detector QE (source unknown)}
# - {name: Total_throughput, datatype: float64}
# meta: !!omap
# - {ORIGFILE: XGSdetQE_10nmAl2O3_30nmAl_45nmPoly_95mesh.txt}
# - {origin: "-------- Forwarded Message --------\nSubject: \tRe: [xrs-iwg-chairs] Fwd:\
#     \ filter+QE curve\nDate: \tFri, 11 May 2018 10:17:35 -0400\nFrom: \tRandall McEntaffer\
#     \ <rlm90@psu.edu>\nTo: \txrs-iwg-chairs@cfa.harvard.edu\n\n\nOK - please ignore\
#     \ everything I said yesterday (if you haven't \nalready).  Please delete the data\
#     \ file I sent yesterday in an effort to \nkeep it from floating around and causing\
#     \ even more confusion.\n\nI've attached a file to replace the one I sent yesterday.\
224 0.88439 0.67147 0.96673 0.95 0.8519778 0.464651686
228 0.88841 0.68079 0.96826 0.95 0.8561651 0.476320993
232 0.89216 0.68953 0.9697 0.95 0.8602393 0.487501767
236 0.89572 0.69795 0.97105 0.95 0.8640922 0.498335545
240 0.89908 0.70605 0.97229 0.95 0.8677943 0.50882684
244 0.90223 0.71385 0.97342 0.95 0.8714564 0.519031555
248 0.90523 0.72136 0.97453 0.95 0.8747857 0.528848758
252 0.90809 0.7286 0.97567 0.95 0.8782191 0.538576618
256 0.91083 0.73558 0.97675 0.95 0.8815369 0.548043158
260 0.91346 0.74231 0.97776 0.95 0.8847544 0.557254326
264 0.91597 0.7488 0.97872 0.95 0.8878504 0.566198805
268 0.91848 0.75541 0.97962 0.95 0.8907403 0.575154846
272 0.92131 0.76313 0.98046 0.95 0.8935827 0.585184143
276 0.92403 0.77062 0.98127 0.95 0.8962138 0.5949084
280 0.92663 0.77781 0.98203 0.95 0.8988969 0.60441902
284 0.92911 0.7847 0.98275 0.95 0.9014179 0.613569302
288 0.93148 0.79132 0.79285 0.95 0.903851 0.501807509
292 0.93374 0.79767 0.79845 0.95 0.9062039 0.511972318
296 0.9359 0.80377 0.80384 0.95 0.9083744 0.521818347
300 0.93796 0.80963 0.80904 0.95 0.9107495 0.531573658
304 0.93993 0.81526 0.81405 0.95 0.9128359 0.540952389
308 0.94182 0.82068 0.81888 0.95 0.9152315 0.550321635
312 0.94362 0.82588 0.82354 0.95 0.9173994 0.559346392
316 0.94535 0.83089 0.82803 0.95 0.9194883 0.568135655
320 0.94701 0.83571 0.83238 0.95 0.9215802 0.576751246
324 0.9486 0.84034 0.83657 0.95 0.9233866 0.584988887
328 0.95013 0.84481 0.84062 0.95 0.9252294 0.593082112
332 0.95159 0.8491 0.84453 0.95 0.9270349 0.600957115
336 0.95299 0.85324 0.84831 0.95 0.9288328 0.608660734
340 0.95434 0.85723 0.85196 0.95 0.9304749 0.616095393
344 0.95563 0.86108 0.85549 0.95 0.9320286 0.623305643
348 0.95688 0.86478 0.8589 0.95 0.9335076 0.630299816
352 0.95808 0.86836 0.8622 0.95 0.9349523 0.637122089
356 0.95923 0.8718 0.86539 0.95 0.9362593 0.643681815
360 0.9603 0.87501 0.86848 0.95 0.9375809 0.649998155
364 0.9613 0.87798 0.87147 0.95 0.938659 0.65588464
368 0.96224 0.88078 0.87437 0.95 0.939862 0.661658347
372 0.96316 0.8835 0.87718 0.95 0.9411277 0.667368762
376 0.96404 0.88613 0.87991 0.95 0.9420266 0.672693945
380 0.96489 0.88867 0.88272 0.95 0.9429653 0.678048264
384 0.96571 0.89114 0.8855 0.95 0.9436331 0.683137308
388 0.9665 0.89353 0.88824 0.95 0.9441475 0.688025883
392 0.96728 0.89585 0.89089 0.95 0.9442289 0.69248837
396 0.96802 0.89809 0.89346 0.95 0.9442838 0.69679568
400 0.96874 0.90027 0.89595 0.95 0.944127 0.700838268
404 0.96944 0.90239 0.89835 0.95 0.9440441 0.704817484
408 0.97012 0.90444 0.90068 0.95 0.9439789 0.708698691
412 0.97078 0.90643 0.89058 0.95 0.9438851 0.702701313
416 0.97141 0.90837 0.89301 0.95 0.9437654 0.706495389
420 0.97203 0.91024 0.89536 0.95 0.9436918 0.710210454
424 0.97263 0.91207 0.89764 0.95 0.9439815 0.714110004
428 0.97321 0.91384 0.89986 0.95 0.9440933 0.717778085
432 0.97377 0.91556 0.90201 0.95 0.9444835 0.72156014
436 0.97433 0.91729 0.9041 0.95 0.9448142 0.725269176
440 0.97489 0.91901 0.90612 0.95 0.9453986 0.729121877
444 0.97544 0.92073 0.90809 0.95 0.9459203 0.732891861
448 0.97597 0.9224 0.91001 0.95 0.9463143 0.736479963
452 0.97649 0.92402 0.91186 0.95 0.9469699 0.74017961
456 0.97699 0.9256 0.91367 0.95 0.947477 0.743695427
460 0.97748 0.92713 0.91542 0.95 0.9478942 0.747054665
464 0.97796 0.92862 0.91713 0.95 0.9485481 0.750538523
468 0.97842 0.93006 0.91879 0.95 0.9490497 0.75381558
472 0.97886 0.93147 0.9204 0.95 0.9495465 0.757017478
476 0.9793 0.93284 0.92197 0.95 0.9500341 0.760155608
480 0.97972 0.93417 0.9235 0.95 0.9505951 0.763280147
484 0.98013 0.93546 0.92498 0.95 0.9512169 0.766380436
488 0.98053 0.93672 0.92645 0.95 0.9517478 0.769375144
492 0.98092 0.93795 0.92788 0.95 0.9523338 0.772356658
496 0.9813 0.93915 0.92927 0.95 0.9530573 0.775391965
500 0.98167 0.94033 0.93063 0.95 0.953536 0.778186261
504 0.98203 0.94148 0.93195 0.95 0.9540452 0.780946032
508 0.98238 0.94261 0.93324 0.95 0.954623 0.783719042
512 0.98273 0.94372 0.93449 0.95 0.9551932 0.786442289
516 0.98307 0.94479 0.93571 0.95 0.9556636 0.789022979
520 0.98339 0.94584 0.9369 0.95 0.9561847 0.79159328
524 0.98371 0.94686 0.93806 0.95 0.956682 0.79409906
528 0.98402 0.94786 0.93919 0.95 0.957185 0.796564726
532 0.98432 0.94882 0.9403 0.95 0.9576246 0.798924014
536 0.98462 0.94976 0.94137 0.95 0.9469272 0.791923223
540 0.9849 0.95068 0.94242 0.95 0.9446022 0.791851141
544 0.94872 0.95157 0.91815 0.95 0.9509051 0.748778245
548 0.94962 0.95244 0.91957 0.95 0.9539142 0.753711588
552 0.9505 0.95329 0.92095 0.95 0.954691 0.756832275
556 0.95136 0.95413 0.9223 0.95 0.9536093 0.758435636
560 0.9522 0.95495 0.92362 0.95 0.9530092 0.760366259
564 0.95302 0.95576 0.92492 0.95 0.9534935 0.763126224
568 0.95382 0.95656 0.92618 0.95 0.9548988 0.766575601
572 0.9546 0.95733 0.92742 0.95 0.9562047 0.769899496
576 0.95536 0.9581 0.92862 0.95 0.9571809 0.77291824
580 0.9561 0.95884 0.9298 0.95 0.9579219 0.77569807
584 0.95682 0.95957 0.93095 0.95 0.9584077 0.778228555
588 0.95753 0.96028 0.93207 0.95 0.9590394 0.780834256
592 0.95822 0.96098 0.93317 0.95 0.9595265 0.783287016
596 0.95889 0.96166 0.93424 0.95 0.9599623 0.785645419
600 0.95955 0.96232 0.93529 0.95 0.960376 0.787949377
604 0.96019 0.96297 0.93631 0.95 0.9607083 0.79014127
608 0.96082 0.9636 0.93732 0.95 0.9610533 0.792314838
612 0.96144 0.96422 0.9383 0.95 0.9614087 0.79445937
616 0.96204 0.96482 0.93926 0.95 0.9618883 0.796660899
620 0.96263 0.96541 0.9402 0.95 0.9624009 0.798860702
624 0.96321 0.96599 0.94112 0.95 0.9628972 0.80101776
628 0.96377 0.96655 0.94202 0.95 0.9633859 0.803122408
632 0.96434 0.96712 0.94291 0.95 0.9638523 0.805220607
636 0.96489 0.96767 0.94379 0.95 0.9643169 0.807279338
640 0.96545 0.96821 0.94464 0.95 0.9647291 0.809272283
644 0.96599 0.96875 0.94549 0.95 0.9651822 0.811286399
648 0.96653 0.96928 0.94632 0.95 0.9656101 0.813257382
652 0.96707 0.9698 0.94713 0.95 0.966045 0.815212154
656 0.96759 0.97031 0.94793 0.95 0.9664508 0.817111837
660 0.96811 0.97081 0.94872 0.95 0.9668711 0.819009969
664 0.96861 0.9713 0.94949 0.95 0.9673004 0.820876277
668 0.9691 0.97178 0.95024 0.95 0.9677171 0.822700723
672 0.96956 0.97223 0.95096 0.95 0.9680833 0.824408178
676 0.97001 0.97266 0.95165 0.95 0.9684826 0.826094912
680 0.97044 0.97308 0.95233 0.95 0.9688352 0.827710026
684 0.97084 0.97347 0.95298 0.95 0.969182 0.829245197
688 0.97123 0.97386 0.95362 0.95 0.9695318 0.830767754
692 0.97162 0.97423 0.95424 0.95 0.9698738 0.832251133
696 0.97199 0.97459 0.95484 0.95 0.9701846 0.833666469
700 0.97236 0.97495 0.95544 0.95 0.9704819 0.835071944
704 0.97273 0.9753 0.95604 0.95 0.9707841 0.836474792
708 0.9731 0.97566 0.95665 0.95 0.9710433 0.8378596
712 0.97347 0.97601 0.95725 0.95 0.9713289 0.839251508
716 0.97383 0.97636 0.95785 0.95 0.971592 0.840616997
720 0.9742 0.97671 0.95845 0.95 0.9718621 0.8419988
724 0.97455 0.97705 0.95904 0.95 0.9721498 0.843362784
728 0.9749 0.97738 0.95962 0.95 0.9724427 0.844715445
732 0.97525 0.97771 0.96019 0.95 0.9727475 0.846071222
736 0.97559 0.97803 0.96075 0.95 0.973069 0.847416961
740 0.97592 0.97834 0.96129 0.95 0.9733719 0.848713017
744 0.97624 0.97865 0.96183 0.95 0.9736924 0.850017179
748 0.97656 0.97895 0.96235 0.95 0.9739749 0.851263208
752 0.97687 0.97925 0.96287 0.95 0.9742886 0.852529144
756 0.97718 0.97954 0.96338 0.95 0.9745671 0.853748045
760 0.97748 0.97983 0.96387 0.95 0.9748408 0.854937523
764 0.97778 0.98011 0.96436 0.95 0.9751046 0.856110786
768 0.97807 0.98038 0.96484 0.95 0.9753575 0.857249251
772 0.97836 0.98065 0.96531 0.95 0.9756037 0.858374031
776 0.97864 0.98092 0.96578 0.95 0.9758607 0.859500618
780 0.97893 0.98118 0.96624 0.95 0.9761109 0.860613402
784 0.9792 0.98144 0.96669 0.95 0.9763581 0.861698077
788 0.97948 0.98169 0.96713 0.95 0.9766043 0.862773967
792 0.97975 0.98194 0.96757 0.95 0.9768705 0.863859708
796 0.98001 0.98218 0.968 0.95 0.9771228 0.86490758
800 0.98027 0.98242 0.96842 0.95 0.9773861 0.865957186
804 0.98053 0.98266 0.96883 0.95 0.9776593 0.867007558
808 0.98078 0.98289 0.96924 0.95 0.9779286 0.868037724
812 0.98103 0.98312 0.96964 0.95 0.9781929 0.869055383
816 0.98127 0.98334 0.97003 0.95 0.9784545 0.870044835
820 0.98151 0.98356 0.97042 0.95 0.978709 0.871028796
824 0.98175 0.98377 0.9708 0.95 0.9789558 0.871988869
828 0.98198 0.98398 0.97117 0.95 0.9791788 0.872910625
832 0.9822 0.98419 0.97154 0.95 0.979391 0.873814562
836 0.98243 0.9844 0.9719 0.95 0.9796043 0.87472007
840 0.98264 0.9846 0.97225 0.95 0.9798166 0.875589652
844 0.98286 0.98479 0.97259 0.95 0.980018 0.876441126
848 0.98306 0.98499 0.97293 0.95 0.9802254 0.877289636
852 0.98327 0.98518 0.97327 0.95 0.9804219 0.878129003
856 0.98347 0.98536 0.97359 0.95 0.9806145 0.878929549
860 0.98366 0.98555 0.97392 0.95 0.9808052 0.879737942
864 0.98386 0.98573 0.97423 0.95 0.9809969 0.880529717
868 0.98404 0.98591 0.97454 0.95 0.9812075 0.88132108
872 0.98423 0.98608 0.97484 0.95 0.9814221 0.882107528
876 0.98441 0.98625 0.97514 0.95 0.9816366 0.882885435
880 0.98458 0.98642 0.97544 0.95 0.9818484 0.883652441
884 0.98476 0.98659 0.97573 0.95 0.9820531 0.884413459
888 0.98493 0.98675 0.97601 0.95 0.9822639 0.88515343
892 0.9851 0.98691 0.97629 0.95 0.9824677 0.885887545
896 0.98527 0.98707 0.97657 0.95 0.9826666 0.886617688
900 0.98543 0.98723 0.97684 0.95 0.9828705 0.887334698
904 0.98559 0.98738 0.97711 0.95 0.9830725 0.888041425
908 0.98575 0.98753 0.97737 0.95 0.9832615 0.888727723
912 0.98591 0.98768 0.97763 0.95 0.9834467 0.889410975
916 0.98606 0.98783 0.97788 0.95 0.9836239 0.890069245
920 0.98621 0.98797 0.97813 0.95 0.983804 0.890721484
924 0.98637 0.98811 0.97838 0.95 0.9839773 0.891376952
928 0.98652 0.98825 0.97863 0.95 0.9841407 0.892014759
932 0.98667 0.98839 0.97887 0.95 0.9843101 0.892649224
936 0.98682 0.98852 0.97911 0.95 0.9844676 0.893264187
940 0.98696 0.98865 0.97935 0.95 0.984624 0.893869405
944 0.98711 0.98878 0.97958 0.95 0.9847885 0.894482212
948 0.98725 0.98891 0.97982 0.95 0.984944 0.895087218
952 0.98739 0.98904 0.98004 0.95 0.9850957 0.89567079
956 0.98753 0.98917 0.98027 0.95 0.9852473 0.896263695
960 0.98767 0.98929 0.98049 0.95 0.9853989 0.896838676
964 0.98781 0.98941 0.9807 0.95 0.9855486 0.897403047
968 0.98794 0.98953 0.98092 0.95 0.9856904 0.897960549
972 0.98807 0.98965 0.98113 0.95 0.9858311 0.898508144
976 0.9882 0.98976 0.98134 0.95 0.9859778 0.899052372
980 0.98833 0.98987 0.98154 0.95 0.9861187 0.899582386
984 0.98845 0.98999 0.98174 0.95 0.9862555 0.900108874
988 0.98858 0.9901 0.98194 0.95 0.9863914 0.900634781
992 0.9887 0.99021 0.98214 0.95 0.9865302 0.901154449
996 0.98882 0.99031 0.98233 0.95 0.9866641 0.901651575
1000 0.98894 0.99042 0.98252 0.95 0.9867931 0.902153532
1004 0.98905 0.99052 0.98271 0.95 0.9869201 0.902635627
1008 0.98917 0.99062 0.98289 0.95 0.9870461 0.903116937
1012 0.98928 0.99072 0.98307 0.95 0.9871731 0.903590217
1016 0.98939 0.99082 0.98325 0.95 0.9872991 0.904062765
1020 0.9895 0.99092 0.98343 0.95 0.9874212 0.904531921
1024 0.98961 0.99101 0.9836 0.95 0.9875442 0.904983748
1028 0.98971 0.9911 0.98377 0.95 0.9876663 0.905425768
1032 0.98982 0.99119 0.98394 0.95 0.9877785 0.905868018
1036 0.98992 0.99128 0.98411 0.95 0.9878996 0.906309438
1040 0.99002 0.99137 0.98427 0.95 0.9880148 0.906736387
1044 0.99012 0.99146 0.98444 0.95 0.988127 0.907169946
1048 0.99022 0.99155 0.9846 0.95 0.9882421 0.907597102
1052 0.99032 0.99164 0.98475 0.95 0.9883534 0.908011695
1056 0.99042 0.99172 0.98491 0.95 0.9884636 0.908425479
1060 0.99051 0.99181 0.98507 0.95 0.9885749 0.908840402
1064 0.99061 0.99189 0.98522 0.95 0.9886831 0.909243395
1068 0.9907 0.99198 0.98537 0.95 0.9887874 0.909642921
1072 0.9908 0.99206 0.98552 0.95 0.9888907 0.910041667
1076 0.99089 0.99214 0.98567 0.95 0.988993 0.910430433
1080 0.99098 0.99222 0.98581 0.95 0.9890944 0.910809253
1084 0.99107 0.9923 0.98596 0.95 0.9891937 0.911195497
1088 0.99115 0.99238 0.9861 0.95 0.9892941 0.911564433
1092 0.99124 0.99245 0.98624 0.95 0.9893935 0.911932568
1096 0.99132 0.99253 0.98637 0.95 0.9894909 0.912289708
1100 0.99141 0.9926 0.98651 0.95 0.9895843 0.912652525
1104 0.99149 0.99268 0.98664 0.95 0.9896717 0.913000648
1108 0.99157 0.99275 0.98677 0.95 0.9897652 0.913345298
1112 0.99165 0.99282 0.9869 0.95 0.9898506 0.913682566
1116 0.99173 0.99289 0.98703 0.95 0.9899431 0.914026482
1120 0.99181 0.99296 0.98716 0.95 0.9900315 0.914366706
1124 0.99189 0.99303 0.98728 0.95 0.9901141 0.9146924
1128 0.99197 0.9931 0.98741 0.95 0.9902006 0.915031051
1132 0.99204 0.99316 0.98753 0.95 0.9902841 0.915339307
1136 0.99212 0.99323 0.98765 0.95 0.9903646 0.915663315
1140 0.99219 0.9933 0.98777 0.95 0.9904442 0.915977343
1144 0.99226 0.99336 0.98788 0.95 0.9905317 0.916280259
1148 0.99234 0.99342 0.988 0.95 0.9906133 0.916596303
1152 0.99241 0.99349 0.98811 0.95 0.9906908 0.916899343
1156 0.99248 0.99355 0.98822 0.95 0.9907684 0.917193319
1160 0.99255 0.99361 0.98834 0.95 0.990845 0.917495721
1164 0.99261 0.99367 0.98844 0.95 0.9909216 0.917770379
1168 0.99268 0.99373 0.98855 0.95 0.9909981 0.918063541
1172 0.99275 0.99379 0.98866 0.95 0.9910638 0.918346764
1176 0.99281 0.99385 0.98877 0.95 0.9911404 0.918630901
1180 0.99288 0.9939 0.98887 0.95 0.9912151 0.918904058
1184 0.99294 0.99396 0.98897 0.95 0.9912867 0.919174391
1188 0.99301 0.99402 0.98907 0.95 0.9913543 0.919450332
1192 0.99307 0.99407 0.98917 0.95 0.991429 0.919714407
1196 0.99313 0.99412 0.98927 0.95 0.9914976 0.919972878
1200 0.99319 0.99418 0.98937 0.95 0.9915643 0.920238895
1204 0.99325 0.99423 0.98947 0.95 0.9916329 0.920497474
1208 0.99331 0.99428 0.98956 0.95 0.9917006 0.920745965
1212 0.99337 0.99434 0.98966 0.95 0.9917663 0.921011218
1216 0.99343 0.99439 0.98975 0.95 0.991834 0.921259812
1220 0.99349 0.99444 0.98984 0.95 0.9918987 0.921505669
1224 0.99354 0.99449 0.98993 0.95 0.9919603 0.921739416
1228 0.9936 0.99454 0.99002 0.95 0.9920281 0.921988248
1232 0.99365 0.99459 0.99011 0.95 0.9920888 0.922221248
1236 0.99371 0.99463 0.9902 0.95 0.9921485 0.92245337
1240 0.99376 0.99468 0.99029 0.95 0.9922082 0.922685527
1244 0.99382 0.99473 0.99037 0.95 0.992267 0.922916857
1248 0.99387 0.99477 0.99046 0.95 0.9923357 0.923148191
1252 0.99392 0.99482 0.99054 0.95 0.9923944 0.923370224
1256 0.99397 0.99486 0.99062 0.95 0.9924521 0.923582082
1260 0.99403 0.99491 0.99071 0.95 0.9925099 0.923821972
1264 0.99408 0.99495 0.99079 0.95 0.9925666 0.924032975
1268 0.99413 0.99499 0.99087 0.95 0.9926234 0.924244106
1272 0.99418 0.99504 0.99095 0.95 0.9926822 0.924466426
1276 0.99423 0.99508 0.99103 0.95 0.9927369 0.924675674
1280 0.99427 0.99512 0.99111 0.95 0.9927887 0.924872953
1284 0.99432 0.99516 0.99118 0.95 0.9928385 0.92506837
1288 0.99437 0.9952 0.99126 0.95 0.9928952 0.925279582
1292 0.99442 0.99524 0.99133 0.95 0.992952 0.925481586
1296 0.99446 0.99528 0.99141 0.95 0.9930058 0.925680855
1300 0.99451 0.99532 0.99148 0.95 0.9930536 0.925874533
1304 0.99455 0.99536 0.99156 0.95 0.9931054 0.926072
1308 0.9946 0.9954 0.99163 0.95 0.9931612 0.926273199
1312 0.99464 0.99543 0.9917 0.95 0.993206 0.926445548
1316 0.99469 0.99547 0.99177 0.95 0.9932598 0.926644942
1320 0.99473 0.99551 0.99184 0.95 0.9933136 0.92683505
1324 0.99477 0.99554 0.99191 0.95 0.9933574 0.927006542
1328 0.99481 0.99558 0.99198 0.95 0.9934082 0.927193904
1332 0.99486 0.99562 0.99204 0.95 0.993453 0.927375667
1336 0.9949 0.99565 0.99211 0.95 0.9935039 0.927553861
1340 0.99494 0.99569 0.99218 0.95 0.9935487 0.927735702
1344 0.99498 0.99572 0.99224 0.95 0.9935965 0.9279017
1348 0.99502 0.99576 0.9923 0.95 0.9936383 0.928071437
1352 0.99506 0.99579 0.99237 0.95 0.9936852 0.928245992
1356 0.9951 0.99582 0.99243 0.95 0.993732 0.928411123
1360 0.99514 0.99586 0.99249 0.95 0.9937779 0.928584759
1364 0.99518 0.99589 0.99256 0.95 0.9938247 0.928759292
1368 0.99521 0.99592 0.99262 0.95 0.9938645 0.928908614
1372 0.99525 0.99595 0.99268 0.95 0.9939124 0.92907486
1376 0.99529 0.99598 0.99274 0.95 0.9939552 0.929236359
1380 0.99533 0.99602 0.99279 0.95 0.9939951 0.929395138
1384 0.99536 0.99605 0.99285 0.95 0.9940349 0.929544535
1388 0.9954 0.99608 0.99291 0.95 0.9940748 0.929703382
1392 0.99543 0.99611 0.99297 0.95 0.9941226 0.929860298
1396 0.99547 0.99614 0.99302 0.95 0.9941625 0.93000982
1400 0.9955 0.99617 0.99308 0.95 0.9942014 0.930158447
1404 0.99554 0.9962 0.99313 0.95 0.9942393 0.930306133
1408 0.99557 0.99623 0.99319 0.95 0.9942791 0.930455636
1412 0.99561 0.99625 0.99324 0.95 0.994317 0.930594016
1416 0.99564 0.99628 0.9933 0.95 0.9943559 0.930742711
1420 0.99567 0.99631 0.99335 0.95 0.9943938 0.930881116
1424 0.9957 0.99634 0.9934 0.95 0.9944316 0.931019443
1428 0.99574 0.99637 0.99345 0.95 0.9944685 0.931166294
1432 0.99577 0.99639 0.9935 0.95 0.9945074 0.931296335
1436 0.9958 0.99642 0.99355 0.95 0.9945443 0.931433864
1440 0.99583 0.99645 0.9936 0.95 0.9945812 0.931571409
1444 0.99586 0.99647 0.99365 0.95 0.994619 0.931700461
1448 0.99589 0.9965 0.9937 0.95 0.9946559 0.931838034
1452 0.99592 0.99653 0.99375 0.95 0.9946928 0.931975622
1456 0.99595 0.99655 0.9938 0.95 0.9947297 0.932103872
1460 0.99598 0.99658 0.99385 0.95 0.9947656 0.932240552
1464 0.99601 0.9966 0.99389 0.95 0.9948025 0.932359448
1468 0.99604 0.99663 0.99394 0.95 0.9948384 0.932496155
1472 0.99607 0.99665 0.99399 0.95 0.9948743 0.93262352
1476 0.9961 0.99668 0.99403 0.95 0.9948992 0.93274056
1480 0.99613 0.9967 0.99408 0.95 0.9949351 0.932867949
1484 0.99616 0.99673 0.99412 0.95 0.994971 0.932995326
1488 0.99619 0.99675 0.99417 0.95 0.9950059 0.933121803
1492 0.99621 0.99678 0.99421 0.95 0.9950388 0.933237025
1496 0.99624 0.9968 0.99425 0.95 0.9950667 0.933347572
1500 0.99627 0.99682 0.9943 0.95 0.9951026 0.933475022
1504 0.9963 0.99685 0.99434 0.95 0.9951375 0.933601523
1508 0.99633 0.99687 0.99438 0.95 0.9951735 0.933719702
1512 0.99635 0.9969 0.99442 0.95 0.9952024 0.933831225
1516 0.99638 0.99692 0.99447 0.95 0.9952332 0.933953937
1520 0.99641 0.99694 0.99451 0.95 0.9952682 0.934071211
1524 0.99643 0.99697 0.99455 0.95 0.9953031 0.934188396
1528 0.99646 0.99699 0.99459 0.95 0.995329 0.934297149
1532 0.99648 0.99701 0.99463 0.95 0.9953609 0.934402167
1536 0.99651 0.99704 0.99467 0.95 0.9953958 0.934528761
1540 0.99653 0.99706 0.99471 0.95 0.9954198 0.934626381
1544 0.99656 0.99708 0.99475 0.95 0.9954527 0.934741745
1548 0.99658 0.9971 0.99478 0.95 0.9954866 0.93483928
1552 0.99661 0.99713 0.99482 0.95 0.9955105 0.934955588
1556 0.99663 0.99715 0.99486 0.95 0.9955425 0.935060754
1560 0.9887 0.96685 0.9949 0.95 0.9955674 0.89949207
1564 0.98877 0.96704 0.99493 0.95 0.9956003 0.899789394
1568 0.98884 0.96724 0.99497 0.95 0.9956312 0.90010332
1572 0.98891 0.96743 0.99501 0.95 0.9956572 0.900403571
1576 0.98898 0.96762 0.99504 0.95 0.9956861 0.900697453
1580 0.98905 0.96781 0.99508 0.95 0.9957131 0.900998725
1584 0.98912 0.968 0.99511 0.95 0.99574 0.901290908
1588 0.98918 0.96819 0.99515 0.95 0.9957689 0.901584902
1592 0.98925 0.96838 0.99518 0.95 0.9957948 0.901876289
1596 0.98931 0.96856 0.99522 0.95 0.9958238 0.902161169
1600 0.98938 0.96874 0.99525 0.95 0.9958477 0.902441535
1604 0.98944 0.96892 0.99529 0.95 0.9958777 0.902727427
