# %ECSV 0.9
# ---
# datatype:
# - {name: energy, datatype: float64}
# - {name: '1', datatype: float64}
# - {name: '2', datatype: float64}
# - {name: '3', datatype: float64}
# - {name: '4', datatype: float64}
# - {name: '5', datatype: float64}
# - {name: '6', datatype: float64}
# - {name: '7', datatype: float64}
# - {name: '8', datatype: float64}
# - {name: '9', datatype: float64}
# - {name: '10', datatype: float64}
# - {name: '11', datatype: float64}
# - {name: '12', datatype: float64}
# - {name: total, datatype: float64}
# meta: !!omap
# - {author: Hans Moritz Guenther}
# - {ORIGFILE: Output4Ralf.xlsx}
# - {origin: "\n-------- Forwarded Message --------\nSubject: \tRe: Lynx mirror parameters\nDate: \tTue, 14 Aug 2018 20:41:36 -0400\n\
#     From: \tWilliam W. Zhang <William.W.Zhang@nasa.gov>\nTo: \tRalf Heilmann <ralf@space.mit.edu>\n\n\nSee attachment. I think it has\
#     \ what you wanted.\n\n\n============================================================================================================\n\
0.85 334.28 671.72 1001.11 1318.43 1619.2 1883.34 2055.97 2206.32 2369.9 2467.73 2498.24 2587.49 21013.73
0.86 334.44 672.22 1002.11 1320.09 1621.62 1886.57 2059.89 2210.87 2375.06 2473.27 2503.87 2593.13 21053.14
0.87 334.92 673.74 1005.22 1325.29 1629.36 1897.11 2073.03 2226.69 2393.82 2494.54 2527.01 2618.62 21199.35
0.88 335.66 676.11 1010.09 1333.48 1641.59 1913.85 2094.01 2252.07 2424.13 2529.18 2565.06 2660.99 21436.22
0.89 335.44 675.4 1008.6 1330.9 1637.61 1908.19 2086.57 2242.58 2412.09 2514.45 2547.62 2639.84 21339.29
0.9 335.34 675.06 1007.88 1329.63 1635.6 1905.25 2082.62 2237.38 2405.29 2505.86 2537.12 2626.69 21283.72
0.91 335.3 674.95 1007.62 1329.16 1634.79 1903.98 2080.77 2234.78 2401.65 2500.98 2530.8 2618.36 21253.14
0.92 335.29 674.91 1007.53 1328.95 1634.39 1903.26 2079.64 2233.05 2399.07 2497.32 2525.86 2611.59 21230.86
0.93 335.31 674.95 1007.58 1328.99 1634.37 1903.08 2079.17 2232.14 2397.47 2494.8 2522.17 2606.23 21216.26
0.94 335.33 675.02 1007.71 1329.16 1634.52 1903.13 2079.0 2231.58 2396.29 2492.75 2519.01 2601.44 21204.94
0.95 335.36 675.08 1007.82 1329.3 1634.64 1903.14 2078.76 2230.93 2395.0 2490.56 2515.65 2596.41 21192.65
0.96 335.38 675.14 1007.92 1329.43 1634.73 1903.11 2078.48 2230.22 2393.62 2488.25 2512.15 2591.19 21179.62
0.97 335.4 675.21 1008.04 1329.57 1634.85 1903.11 2078.23 2229.55 2392.27 2485.97 2508.66 2585.94 21166.8
0.98 335.42 675.26 1008.12 1329.65 1634.88 1902.97 2077.8 2228.66 2390.65 2483.36 2504.78 2580.22 21151.77
0.99 335.44 675.31 1008.2 1329.73 1634.9 1902.84 2077.37 2227.75 2389.01 2480.7 2500.83 2574.4 21136.48
1.0 335.46 675.37 1008.29 1329.85 1634.97 1902.76 2077.01 2226.93 2387.45 2478.13 2496.96 2568.64 21121.82
1.01 335.47 675.42 1008.38 1329.93 1635.0 1902.63 2076.58 2226.01 2385.78 2475.41 2492.89 2562.63 21106.13
1.02 335.5 675.5 1008.52 1330.13 1635.19 1902.71 2076.42 2225.41 2384.48 2473.11 2489.28 2557.11 21093.36
1.03 335.54 675.62 1008.74 1330.44 1635.55 1903.04 2076.56 2225.18 2383.6 2471.29 2486.19 2552.13 21083.88
1.04 335.57 675.71 1008.9 1330.65 1635.76 1903.14 2076.41 2224.58 2382.28 2468.92 2482.45 2546.38 21070.75
1.05 335.6 675.8 1009.06 1330.86 1635.98 1903.25 2076.26 2223.99 2380.94 2466.52 2478.64 2540.52 21057.42
1.06 335.62 675.86 1009.16 1330.99 1636.05 1903.16 2075.86 2223.07 2379.19 2463.63 2474.26 2533.95 21040.8
1.07 335.65 675.92 1009.27 1331.1 1636.11 1903.06 2075.43 2222.1 2377.39 2460.64 2469.75 2527.21 21023.63
1.08 335.66 675.97 1009.34 1331.17 1636.1 1902.84 2074.86 2220.96 2375.34 2457.37 2464.89 2520.03 21004.53
1.09 335.68 676.0 1009.38 1331.18 1636.0 1902.51 2074.13 2219.61 2373.04 2453.77 2459.63 2512.35 20983.28
1.1 335.69 676.04 1009.43 1331.2 1635.92 1902.19 2073.42 2218.27 2370.74 2450.16 2454.34 2504.6 20962.0
1.11 335.69 676.05 1009.42 1331.12 1635.68 1901.65 2072.42 2216.58 2368.0 2446.01 2448.42 2496.08 20937.12
1.12 335.7 676.06 1009.43 1331.07 1635.48 1901.17 2071.5 2214.97 2365.34 2441.94 2442.55 2487.59 20912.8
1.13 335.7 676.05 1009.38 1330.94 1635.16 1900.51 2070.33 2213.05 2362.3 2437.4 2436.13 2478.42 20885.37
1.14 335.7 676.05 1009.35 1330.81 1634.84 1899.86 2069.18 2211.14 2359.25 2432.84 2429.65 2469.14 20857.81
1.15 335.7 676.03 1009.28 1330.64 1634.45 1899.11 2067.89 2209.05 2355.97 2427.98 2422.82 2459.41 20828.33
1.16 335.7 676.01 1009.21 1330.44 1634.04 1898.31 2066.54 2206.88 2352.58 2422.97 2415.78 2449.4 20797.86
1.17 335.69 675.98 1009.12 1330.23 1633.59 1897.47 2065.12 2204.63 2349.06 2417.8 2408.53 2439.1 20766.32
1.18 335.68 675.94 1009.01 1329.98 1633.08 1896.53 2063.58 2202.21 2345.34 2412.37 2400.94 2428.37 20733.03
1.19 335.67 675.9 1008.9 1329.73 1632.57 1895.59 2062.03 2199.77 2341.57 2406.86 2393.24 2417.46 20699.29
1.2 335.66 675.85 1008.76 1329.43 1631.98 1894.54 2060.33 2197.12 2337.54 2401.02 2385.14 2406.04 20663.41
1.21 335.65 675.8 1008.63 1329.14 1631.4 1893.51 2058.65 2194.51 2333.54 2395.17 2377.0 2394.53 20627.53
1.22 335.63 675.74 1008.47 1328.79 1630.74 1892.35 2056.81 2191.67 2329.24 2388.98 2368.43 2382.46 20589.31
1.23 335.62 675.68 1008.32 1328.47 1630.12 1891.24 2055.02 2188.9 2325.01 2382.83 2359.88 2370.36 20551.45
1.24 335.6 675.62 1008.16 1328.12 1629.45 1890.06 2053.14 2186.0 2320.6 2376.45 2351.01 2357.84 20512.05
1.25 335.58 675.56 1008.02 1327.81 1628.83 1888.96 2051.34 2183.2 2316.3 2370.16 2342.22 2345.35 20473.33
1.26 335.57 675.5 1007.85 1327.46 1628.16 1887.77 2049.43 2180.24 2311.79 2363.6 2333.08 2332.38 20432.83
1.27 335.56 675.45 1007.71 1327.15 1627.54 1886.65 2047.6 2177.37 2307.37 2357.12 2323.99 2319.42 20392.93
1.28 335.54 675.38 1007.55 1326.78 1626.84 1885.42 2045.62 2174.31 2302.69 2350.3 2314.46 2305.87 20350.76
1.29 335.52 675.32 1007.4 1326.45 1626.19 1884.25 2043.72 2171.32 2298.08 2343.53 2304.94 2292.26 20308.98
1.3 335.5 675.24 1007.2 1326.04 1625.41 1882.89 2041.56 2168.01 2293.05 2336.25 2294.79 2277.87 20263.81
1.31 335.48 675.17 1007.01 1325.63 1624.64 1881.54 2039.41 2164.7 2288.01 2328.91 2284.54 2263.27 20218.31
1.32 335.46 675.07 1006.77 1325.16 1623.76 1880.05 2037.06 2161.13 2282.63 2321.14 2273.74 2247.98 20169.95
1.33 335.43 674.98 1006.54 1324.68 1622.87 1878.53 2034.68 2157.5 2277.15 2313.23 2262.74 2232.37 20120.7
1.34 335.4 674.87 1006.28 1324.15 1621.92 1876.91 2032.16 2153.69 2271.43 2304.99 2251.32 2216.19 20069.31
1.35 335.37 674.75 1006.0 1323.6 1620.91 1875.22 2029.54 2149.75 2265.53 2296.51 2239.56 2199.55 20016.29
1.36 335.33 674.63 1005.71 1323.03 1619.88 1873.48 2026.86 2145.71 2259.48 2287.81 2227.51 2182.49 19961.92
1.37 335.29 674.49 1005.4 1322.4 1618.76 1871.62 2024.01 2141.45 2253.14 2278.74 2214.98 2164.78 19905.06
1.38 335.26 674.36 1005.08 1321.79 1617.66 1869.78 2021.17 2137.19 2246.78 2269.6 2202.31 2146.82 19847.8
1.39 335.21 674.2 1004.72 1321.09 1616.41 1867.74 2018.07 2132.59 2239.97 2259.9 2188.94 2127.97 19786.81
1.4 335.17 674.06 1004.39 1320.42 1615.23 1865.78 2015.06 2128.09 2233.27 2250.28 2175.6 2109.04 19726.39
1.41 335.12 673.88 1003.98 1319.64 1613.87 1863.55 2011.71 2123.15 2225.98 2239.94 2161.38 2089.01 19661.21
1.42 335.07 673.71 1003.59 1318.9 1612.55 1861.4 2008.43 2118.28 2218.77 2229.63 2147.13 2068.83 19596.29
1.43 335.01 673.53 1003.17 1318.08 1611.12 1859.07 2004.93 2113.12 2211.17 2218.82 2132.24 2047.82 19528.08
1.44 334.96 673.34 1002.73 1317.25 1609.68 1856.72 2001.38 2107.89 2203.45 2207.83 2117.07 2026.37 19458.67
1.45 334.9 673.14 1002.29 1316.39 1608.19 1854.31 1997.75 2102.53 2195.55 2196.57 2101.52 2004.36 19387.5
1.46 334.84 672.93 1001.81 1315.49 1606.62 1851.76 1993.94 2096.94 2187.32 2184.88 2085.4 1981.59 19313.52
1.47 334.78 672.73 1001.35 1314.61 1605.08 1849.27 1990.18 2091.38 2179.11 2173.15 2069.17 1958.55 19239.36
1.48 334.71 672.49 1000.83 1313.61 1603.38 1846.53 1986.09 2085.4 2170.35 2160.72 2052.05 1934.37 19160.53
1.49 334.65 672.27 1000.32 1312.66 1601.72 1843.85 1982.07 2079.49 2161.63 2148.29 2034.84 1909.95 19081.74
1.5 334.58 672.04 999.79 1311.65 1599.98 1841.05 1977.89 2073.35 2152.59 2135.4 2017.01 1884.68 19000.01
1.51 334.51 671.8 999.26 1310.64 1598.23 1838.23 1973.66 2067.13 2143.42 2122.3 1998.85 1858.87 18916.9
1.52 334.44 671.56 998.71 1309.6 1596.45 1835.35 1969.34 2060.78 2134.04 2108.9 1980.24 1832.4 18831.81
1.53 334.36 671.28 998.1 1308.45 1594.48 1832.21 1964.68 2053.97 2124.07 2094.72 1960.66 1804.66 18741.64
1.54 334.28 671.02 997.51 1307.34 1592.56 1829.12 1960.07 2047.22 2114.12 2080.51 1940.92 1776.58 18651.25
1.55 334.19 670.72 996.84 1306.08 1590.43 1825.73 1955.05 2039.92 2103.45 2065.38 1920.03 1747.05 18554.87
1.56 334.1 670.42 996.16 1304.81 1588.28 1822.31 1949.99 2032.54 2092.64 2050.0 1898.75 1716.9 18456.9
1.57 334.01 670.1 995.46 1303.51 1586.06 1818.79 1944.78 2024.96 2081.54 2034.2 1876.87 1685.91 18356.19
1.58 333.91 669.76 994.71 1302.1 1583.68 1815.03 1939.24 2016.94 2069.84 2017.62 1853.98 1653.61 18250.42
1.59 333.81 669.43 993.96 1300.72 1581.34 1811.31 1933.75 2008.95 2058.13 2000.94 1830.85 1620.86 18144.05
1.6 333.7 669.05 993.13 1299.18 1578.75 1807.24 1927.79 2000.34 2045.61 1983.21 1806.41 1586.46 18030.87
1.61 333.59 668.67 992.29 1297.63 1576.13 1803.11 1921.74 1991.59 2032.85 1965.12 1781.42 1551.28 17915.42
1.62 333.47 668.28 991.43 1296.04 1573.46 1798.91 1915.56 1982.65 2019.82 1946.61 1755.8 1515.25 17797.28
1.63 333.34 667.85 990.48 1294.29 1570.53 1794.33 1908.89 1973.06 2005.92 1926.96 1728.77 1477.46 17671.88
1.64 333.21 667.42 989.54 1292.56 1567.63 1789.78 1902.24 1963.46 1991.94 1907.14 1701.38 1439.15 17545.45
1.65 333.07 666.95 988.52 1290.68 1564.51 1784.91 1895.15 1953.29 1977.2 1886.29 1672.68 1399.25 17412.5
1.66 332.93 666.46 987.45 1288.73 1561.25 1779.84 1887.79 1942.73 1961.9 1864.69 1642.98 1358.13 17274.88
1.67 332.78 665.98 986.4 1286.79 1558.02 1774.79 1880.43 1932.15 1946.51 1842.86 1612.86 1316.47 17136.04
1.68 332.62 665.43 985.19 1284.6 1554.4 1769.18 1872.33 1920.58 1929.83 1819.39 1580.72 1272.54 16986.81
1.69 332.45 664.88 984.0 1282.41 1550.77 1763.55 1864.17 1908.92 1912.95 1795.56 1548.02 1228.0 16835.68
1.7 332.28 664.32 982.76 1280.16 1547.04 1757.77 1855.8 1896.93 1895.6 1771.03 1514.38 1182.48 16680.55
1.71 332.09 663.69 981.4 1277.69 1542.96 1751.47 1846.73 1884.03 1877.03 1744.93 1478.81 1135.0 16515.83
1.72 331.9 663.06 980.04 1275.22 1538.89 1745.18 1837.64 1871.06 1858.29 1718.49 1442.71 1087.14 16349.62
1.73 331.71 662.4 978.61 1272.62 1534.61 1738.57 1828.12 1857.48 1838.7 1690.88 1405.12 1037.96 16176.78
1.74 331.5 661.71 977.1 1269.89 1530.11 1731.64 1818.15 1843.29 1818.23 1662.07 1366.01 987.56 15997.26
1.75 331.29 661.02 975.6 1267.17 1525.62 1724.71 1808.14 1828.99 1797.53 1632.84 1326.32 937.09 15816.32
1.76 331.05 660.24 973.92 1264.13 1520.64 1717.06 1797.17 1813.42 1775.15 1601.43 1284.07 884.71 15622.99
1.77 330.81 659.42 972.16 1260.96 1515.44 1709.1 1785.77 1797.24 1751.89 1568.81 1240.41 831.83 15423.84
1.78 330.56 658.61 970.41 1257.79 1510.24 1701.11 1774.28 1780.9 1728.32 1535.68 1196.16 779.5 15223.56
1.79 330.27 657.67 968.37 1254.14 1504.29 1692.02 1761.34 1762.65 1702.23 1499.36 1148.42 725.19 15005.95
1.8 329.98 656.7 966.29 1250.4 1498.19 1682.73 1748.09 1743.94 1675.45 1462.07 1099.71 671.68 14785.23
1.81 329.68 655.73 964.2 1246.65 1492.07 1673.37 1734.72 1725.01 1648.27 1424.16 1050.53 619.67 14564.06
1.82 329.33 654.56 961.69 1242.17 1484.82 1662.39 1719.19 1703.25 1617.41 1381.73 996.8 566.01 14319.35
1.83 328.97 653.38 959.16 1237.65 1477.5 1651.3 1703.46 1681.18 1586.03 1338.57 942.8 514.74 14074.74
1.84 328.6 652.17 956.58 1233.04 1470.02 1639.95 1687.36 1658.56 1553.84 1294.36 888.36 465.9 13828.74
1.85 328.15 650.71 953.47 1227.5 1461.11 1626.55 1668.54 1632.38 1517.03 1244.64 829.18 416.63 13555.89
1.86 327.7 649.23 950.31 1221.9 1452.1 1612.98 1649.43 1605.77 1479.56 1194.16 770.51 371.04 13284.69
1.87 327.23 647.7 947.06 1216.12 1442.78 1598.95 1629.7 1578.27 1440.84 1142.31 712.04 328.84 13011.84
1.88 326.65 645.82 943.06 1209.07 1431.51 1582.11 1606.22 1545.9 1395.91 1083.41 648.93 287.19 12705.78
1.89 326.07 643.91 939.01 1201.9 1420.05 1564.98 1582.3 1512.9 1350.09 1023.89 587.88 250.05 12403.03
1.9 325.46 641.92 934.8 1194.48 1408.18 1547.25 1557.55 1478.75 1302.77 963.19 528.76 216.91 12100.02
1.91 324.67 639.38 929.44 1185.07 1393.24 1525.12 1526.98 1437.11 1246.08 892.82 465.37 184.5 11749.78
1.92 323.87 636.78 923.95 1175.45 1377.97 1502.49 1495.71 1394.51 1188.28 822.61 406.58 156.73 11404.93
1.93 323.05 634.12 918.34 1165.6 1362.34 1479.34 1463.72 1350.94 1129.44 753.01 352.79 133.06 11065.75
1.94 321.9 630.41 910.57 1152.06 1341.03 1448.09 1421.08 1293.86 1054.38 669.22 294.91 109.45 10646.96
1.95 320.7 626.57 902.52 1138.07 1319.04 1415.87 1377.17 1235.24 978.23 588.36 244.72 90.08 10236.57
1.96 319.46 622.59 894.21 1123.62 1296.35 1382.66 1331.98 1175.14 901.34 511.53 201.88 74.21 9834.97
1.97 317.58 616.57 881.71 1102.06 1262.79 1334.12 1266.92 1090.55 797.81 418.41 156.41 57.97 9302.9
1.98 315.51 609.95 867.98 1078.45 1226.18 1281.39 1196.67 1000.39 691.86 333.49 119.64 45.02 8766.53
1.99 313.3 602.93 853.49 1053.62 1187.8 1226.34 1123.8 908.3 589.1 261.16 91.3 35.02 8246.16
2.0 309.03 589.46 825.9 1006.82 1116.45 1125.78 994.13 752.12 433.84 171.43 59.45 23.67 7408.08
2.01 303.31 571.58 789.62 945.92 1024.72 998.71 834.91 572.68 283.78 102.13 36.18 15.05 6478.59
2.02 296.74 551.25 748.83 878.29 924.43 862.87 671.66 406.9 173.4 59.77 22.0 9.54 5605.68
2.03 248.48 410.08 483.02 470.43 380.13 237.86 105.76 37.41 13.41 5.34 2.37 1.19 2395.48
2.04 60.7 41.63 19.92 8.22 3.26 1.33 0.56 0.26 0.13 0.07 0.04 0.02 136.14
